Feature,Mean_Abs_SHAP
EXT_SOURCE_3,0.42485133
EXT_SOURCE_2,0.38818097
HOUSETYPE_MODE,0.37192702
FLAG_OWN_CAR,0.2906486
OCCUPATION_TYPE,0.26759934
WALLSMATERIAL_MODE,0.24045126
OWN_CAR_AGE,0.23368566
FLAG_EMP_PHONE,0.20373136
CNT_FAM_MEMBERS,0.16933744
EXT_SOURCE_1,0.16544826
AMT_GOODS_PRICE,0.1306101
DAYS_EMPLOYED_ANOS,0.12584485
AMT_REQ_CREDIT_BUREAU_YEAR,0.116387
FLAG_PHONE,0.11265656
AMT_ANNUITY,0.08281
AMT_CREDIT,0.0823711
NAME_FAMILY_STATUS,0.07956547
DAYS_LAST_PHONE_CHANGE,0.07209486
ORGANIZATION_TYPE,0.07048617
NAME_EDUCATION_TYPE,0.07035495
